                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2161,                 2.5307,                 1.2283,                0.86492,                0.76799,                0.83971,                 0.6326,                0.87391,                 1.1814,                 1.0362,              0.0019986,              0.0019986,              0.0019986
                      2,                 1.1282,                 1.2713,                 1.1918,                 0.8679,                0.78139,                0.84703,                0.62294,                 0.9427,                0.99701,                 1.0836,               0.003866,               0.003866,               0.003866
                      3,                 1.1724,                 1.1505,                 1.2158,                0.87741,                0.78944,                0.86462,                0.64598,                0.90177,                0.81819,                 1.0493,              0.0056007,              0.0056007,              0.0056007
                      4,                 1.1971,                 1.1369,                 1.2308,                0.84258,                0.77127,                0.83369,                0.60462,                0.98385,                0.87721,                 1.1115,              0.0072028,              0.0072028,              0.0072028
                      5,                 1.2622,                 1.1965,                 1.2838,                0.84371,                0.78565,                0.84055,                0.60919,                0.98274,                0.85343,                 1.1125,              0.0086722,              0.0086722,              0.0086722
                      6,                 1.2571,                 1.1765,                 1.2889,                0.88467,                0.79953,                0.86796,                0.64647,                0.91448,                0.76514,                 1.0931,              0.0083417,              0.0083417,              0.0083417
                      7,                 1.1827,                 1.0717,                 1.2428,                0.88572,                0.82344,                0.88016,                 0.6724,                0.86368,                 0.7016,                  1.051,                0.00801,                0.00801,                0.00801
                      8,                 1.1276,                  1.022,                 1.2207,                0.90844,                0.83201,                0.89625,                0.70164,                0.80939,                0.64923,                 1.0292,              0.0076783,              0.0076783,              0.0076783
                      9,                 1.0843,                0.96671,                 1.1895,                0.91942,                0.84097,                0.90701,                0.71892,                0.77453,                0.60448,                 1.0157,              0.0073467,              0.0073467,              0.0073467
                     10,                 1.0722,                0.93662,                 1.1878,                0.92384,                0.85129,                0.91288,                0.73017,                0.74517,                0.58028,                  0.999,               0.007015,               0.007015,               0.007015
                     11,                 1.0274,                0.88964,                 1.1597,                0.90963,                0.86847,                0.91497,                0.73596,                0.73652,                0.56553,                0.99022,              0.0066833,              0.0066833,              0.0066833
                     12,                 1.0026,                0.87081,                 1.1519,                0.92174,                0.86879,                0.92255,                0.75269,                0.70558,                0.52746,                0.97392,              0.0063517,              0.0063517,              0.0063517
                     13,                0.97971,                 0.8307,                 1.1356,                0.92937,                0.85929,                0.92494,                0.75616,                0.69657,                0.51641,                 0.9694,                0.00602,                0.00602,                0.00602
                     14,                0.94563,                0.79866,                  1.114,                0.92631,                0.87192,                0.92754,                0.76189,                0.68361,                0.50319,                0.96154,              0.0056883,              0.0056883,              0.0056883
                     15,                0.93305,                0.78864,                 1.1123,                0.93162,                0.87566,                0.93332,                0.77071,                0.66719,                0.48485,                0.95112,              0.0053567,              0.0053567,              0.0053567
                     16,                0.89015,                0.73614,                 1.0842,                0.93835,                0.87802,                 0.9346,                0.77402,                 0.6621,                0.46807,                0.94645,               0.005025,               0.005025,               0.005025
                     17,                0.88229,                0.73433,                  1.085,                0.93312,                0.88047,                0.93594,                 0.7758,                0.65327,                0.46178,                0.94233,              0.0046933,              0.0046933,              0.0046933
                     18,                0.89865,                0.74172,                 1.0908,                0.93736,                0.88124,                0.93832,                0.78125,                0.64277,                0.45677,                0.93637,              0.0043617,              0.0043617,              0.0043617
                     19,                0.91026,                0.74668,                 1.0998,                 0.9387,                0.88648,                0.94053,                0.78784,                0.62841,                0.44323,                0.92954,                0.00403,                0.00403,                0.00403
                     20,                0.91515,                0.75145,                 1.1042,                0.94265,                0.88327,                0.94176,                0.78866,                0.62768,                 0.4364,                0.92859,              0.0036983,              0.0036983,              0.0036983
                     21,                0.81613,                0.61927,                 1.0474,                0.94265,                0.88977,                 0.9456,                0.79601,                0.61245,                0.42364,                 0.9212,              0.0033667,              0.0033667,              0.0033667
                     22,                0.79911,                 0.6053,                 1.0407,                0.94514,                0.89192,                0.94885,                0.80035,                0.60144,                0.41239,                0.91577,               0.003035,               0.003035,               0.003035
                     23,                0.74781,                0.56307,                 1.0124,                0.94233,                0.89835,                0.95082,                 0.8028,                0.60132,                0.40519,                0.91163,              0.0027033,              0.0027033,              0.0027033
                     24,                0.78176,                0.58072,                 1.0334,                0.94458,                  0.899,                0.95117,                0.80524,                0.59396,                0.40251,                 0.9092,              0.0023717,              0.0023717,              0.0023717
                     25,                0.76684,                0.56598,                 1.0224,                0.94633,                0.89786,                0.95229,                 0.8101,                 0.5846,                0.39536,                0.90506,                0.00204,                0.00204,                0.00204
                     26,                0.68653,                0.50887,                0.98377,                0.94502,                0.90019,                0.95406,                0.81163,                0.58293,                0.38786,                0.90177,              0.0017083,              0.0017083,              0.0017083
                     27,                 0.7065,                0.51418,                0.99502,                0.94212,                0.90328,                0.95432,                0.81295,                0.58119,                0.38622,                0.89979,              0.0013767,              0.0013767,              0.0013767
                     28,                0.63085,                0.46365,                0.95795,                 0.9409,                0.90505,                0.95491,                0.81331,                0.57939,                 0.3823,                0.89711,               0.001045,               0.001045,               0.001045
                     29,                0.67235,                0.48203,                0.97902,                0.94558,                0.90154,                0.95465,                 0.8135,                0.57942,                0.38126,                0.89646,             0.00071333,             0.00071333,             0.00071333
                     30,                0.69346,                0.49419,                0.98855,                0.94388,                0.90481,                0.95504,                0.81583,                0.57644,                0.37938,                0.89486,             0.00038167,             0.00038167,             0.00038167
